ID	blink_time
15	91.295
15	91.573
15	92.49
15	98.176
15	109.237
15	110.293
15	110.954
15	112.256
15	112.64
15	115.69
15	125.514
15	127.157
15	129.93
15	133.013
15	134.517
15	139.616
15	143.296
15	145.792
15	148.213
15	153.792
15	163.658
15	176.757
15	177.856
15	182.314
15	183.21
15	185.418
15	190.154
15	198.591
15	204.799
15	216.373
15	217.792
15	222.176
15	224.938
15	228.992
15	229.632
15	231.733
15	237.93
15	256.693
15	262.218
15	274.378
15	285.536
15	294.058
15	312.352
15	315.04
15	321.28
15	335.776
15	336.256
15	338.816
15	340
15	346.88
15	350.496
15	355.04
15	357.216
15	359.114
15	359.957
15	362.976
15	370.09
15	371.455
15	372.778
15	376.533
15	379.018
15	391.2
15	392.437
15	396.778
15	404.64
15	413.77
15	414.09
15	417.194
15	421.632
15	423.157
15	425.898
15	431.871
15	432.97
15	433.418
15	434.08
15	443.936
15	445.472
15	448.33
15	450.133
15	451.498
15	453.834
15	455.594
15	457.13
15	458.218
15	461.13
15	464.65
15	469.077
15	472.693
15	477.493
15	480.96
15	483.37
15	484.298
15	485.45
15	493.397
15	494.538
15	496.277
15	501.152
15	502.912
15	507.893
15	517.653
15	524.053
15	531.573
15	533.717
15	536.97
15	544.597
15	556.64
15	558.954
15	559.936
15	563.413
15	567.498
15	570.378
15	575.594
15	578.336
15	579.477
15	583.53
15	585.994
15	590.154
15	594.997
15	596.554
15	599.914
15	602.314
15	604.192
15	606.154
15	610.773
15	612.778
15	615.776
15	622.794
15	627.637
15	632.256
15	635.136
15	636.437
16	3.199
16	9.898
16	11.797
16	29.279
16	86.73
16	95.594
16	114.154
16	114.858
16	145.45
16	147.498
16	150.357
16	163.914
16	166.272
16	170.73
16	186.954
16	194.314
16	206.154
16	223.178
16	228.672
16	284.874
16	285.173
16	287.157
16	289.216
16	291.594
16	298.933
16	302.176
16	319.872
16	321.61
16	323.317
16	328.373
16	341.952
16	345.333
16	373.312
16	373.813
16	375.178
16	387.872
16	404.256
16	408.512
16	413.674
16	416.917
16	419.776
16	420.512
16	434.698
16	444.917
16	448.352
16	461.312
16	468.597
16	483.093
16	488.458
16	494.293
16	510.335
16	542.656
16	546.773
16	554.634
16	560.672
16	567.253
16	572.96
16	595.872
16	601.536
16	606.293
16	610.858
16	615.85
16	624.48
16	626.57
16	626.88
16	632.917
16	634.538
16	634.837
16	635.84
17	1.493
17	1.728
17	2.026
17	2.474
17	3.189
17	3.754
17	4.191
17	4.874
17	6.186
17	6.431
17	7.189
17	9.226
17	9.834
17	10.069
17	12.234
17	17.61
17	19.413
17	22.41
17	23.21
17	25.471
17	28.255
17	31.893
17	34.336
17	35.37
17	35.616
17	35.829
17	36.874
17	38.826
17	40.373
17	40.81
17	42.89
17	43.69
17	45.226
17	46.272
17	46.474
17	48.256
17	51.232
17	57.546
17	59.914
17	60.106
17	61.109
17	63.946
17	64.512
17	65.77
17	67.914
17	68.149
17	68.352
17	69.152
17	69.333
17	72.768
17	74.634
17	75.829
17	76.032
17	76.256
17	82.869
17	85.066
17	85.269
17	91.328
17	93.247
17	94.41
17	99.786
17	100.49
17	104.394
17	110.069
17	114.709
17	118.57
17	121.056
17	121.568
17	126.634
17	128.33
17	128.533
17	131.413
17	132.373
17	134.293
17	135.594
17	136.49
17	138.09
17	139.466
17	142.09
17	143.648
17	145.354
17	149.386
17	150.506
17	151.21
17	153.813
17	157.567
17	158.09
17	159.168
17	160.01
17	161.269
17	162.368
17	165.536
17	168.49
17	174.666
17	175.413
17	175.626
17	175.829
17	178.794
17	180.33
17	180.533
17	182.688
17	185.408
17	186.709
17	186.912
17	187.829
17	189.45
17	192.672
17	199.008
17	200.33
17	201.834
17	202.976
17	205.248
17	205.429
17	206.474
17	208.949
17	210.976
17	211.189
17	211.434
17	213.429
17	213.674
17	214.869
17	215.114
17	216.608
17	216.789
17	219.626
17	221.994
17	223.466
17	223.648
17	223.893
17	224.533
17	226.25
17	226.751
17	229.216
17	229.888
17	230.528
17	231.306
17	232.053
17	233.194
17	233.408
17	234.954
17	236.949
17	240.309
